Amt.Repaid.at.6.Months,Nominal.Loan.Amount,Total.Amt.to.be.Repaid,Repayment.Percentage,Commission.Upfront,Validated.Monthly.Batch,Historical.Monthly.Credit.Card.Receipts,Months.of.History,Loan.Type,FICO,Years.In.Business,Num.of.Credit.Lines,Satisfied.Accounts,Num.of.Paid.off.Credit.Lines,Current.Delinquent.Credit.Lines,Previous.Delinquent.Credit.Lines,Business.Entity.Type,Years.in.File,Num.of.Legal.Items,Num.of.Trade.Lines,Num.of.Derog.Legal.Item,Two.Digit.SIC.Code,Two.Digit.SIC.Description,Population.in.Zip.Code,Male.Population.in.Zip.Code,Female.Population.in.Zip.Code,Average.House.Value.in.Zip.Code,Income.Per.Household.in.Zip....,Median.Age.in.Zip.Code,Time.Zone,Bus.Establishments.in.Zip.Code,Employment.in.Zip.Code,Annual.Payroll.in.Zip.Code,PO.Residential.Count.in.Zip,PO.Business.Count.in.Zip,Delivery.Total,State,ISO.Name,Loan.Size.Class
17218,37200,43710,12.5,3013.2,32986.92,26573.8739,6,O,579,6,21,10,11,3,2,Limited Liability Company,5,0,0,0,54,Food Stores,11250,4924,6326,576000,36671,29.3,5,1156,17444,556433,4586,1296,5882,SC,OTHER,S3
11899,25600,30800,12.5,3060,20864,31646,1,R,525,5,45,35,33,6,4,Corporation,4,2,1,1,72,Personal Services,41499,20744,20755,214500,45014,35.8,5,1601,16017,382855,15901,1429,17330,VA,H,S3
7415,16600,19754,12.5,1832.64,13772,13283.5,4,R,484,4,33,16,11,6,11,Limited Liability Company,16,3,0,1,76,Miscellaneous Repair Services,15990,7945,8045,217100,77658,35.6,5,347,7199,445822,7475,172,7647,MI,B,S2
5938,13000,16000,12.5,2104.24,11494.26,9815.66667,6,R,631,18,26,18,18,0,8,Sole Proprietorship,11,0,1,0,58,Eating and Drinking Places,15683,7448,8235,203000,53761,56.8,5,607,6568,211727,9747,358,10105,FL,H,S2
7334,17000,20485,12.5,2876.4,15801.4,15801.4667,15,O,675,5,29,29,17,0,0,Sole Proprietorship,1,0,0,0,57,Home Furniture and Furnishings Stores,27279,12758,14521,96800,41450,43.3,5,916,23259,984190,11928,998,12926,TN,H,S2
14015,47000,58280,12.5,6956,31181.04,33476.6667,3,O,578,19,7,7,2,0,0,Sole Proprietorship,9,1,1,0,56,Apparel and Accessory Stores,29492,13777,15715,203100,66979,37.6,5,622,12895,0,9584,569,10153,CT,B,S4
6279,27800,32665,12.5,2251.8,25058.02,25057.5556,9,O,473,5,63,42,44,11,10,Limited Liability Company,4,2,2,0,56,Apparel and Accessory Stores,21437,10007,11430,105100,43725,41.4,5,774,8355,260591,9670,1272,10942,FL,OTHER,S3
16608,32000,36800,12.5,2496,25180.74,25183.3747,3,O,597,2,37,10,10,2,7,Sole Proprietorship,30,1,11,0,59,Miscellaneous Retail Stores,17546,8580,8966,198200,54017,40.5,5,787,9410,258520,10345,480,10825,SC,B,S3
4751,10400,12896,12.5,1539.2,6869.34,6869.33333,3,O,568,20,10,3,3,6,1,Corporation,12,2,0,0,59,Miscellaneous Retail Stores,45096,20717,24379,257500,31571,32.9,6,600,6249,163179,19830,726,20556,IL,B,S2
4973,13600,16184,12.5,733.82,21001.4,15178,1,R,548,9,46,43,18,3,6,Corporation,1,0,0,0,64,Insurance Agents Brokers and Services,22897,11430,11467,138600,38472,39.1,5,959,12196,385998,7723,1010,8733,NY,OTHER,S2
16099,32100,38199,10,4429.8,31634.14,36298.5,4,O,617,7,23,15,18,1,7,Corporation,1,1,0,0,79,Amusement and Recreational Services,37047,18086,18961,163400,69714,37,5,1285,9735,264337,16698,429,17127,FL,B,S3
5075,11400,13395,12.5,1231.2,10311.42,12183.3333,3,O,587,3,19,10,9,5,4,Corporation,7,0,0,0,59,Miscellaneous Retail Stores,40157,18878,21279,93100,35211,35.8,5,808,12840,352452,16016,1089,17105,VA,E,S2
10374,21600,26784,12.5,3516.48,25758,25758,1,R,584,2,27,15,14,4,8,Corporation,1,0,1,0,56,Apparel and Accessory Stores,19891,9474,10417,80200,32997,39.4,5,537,10375,274622,8228,586,8814,OH,B,S3
7083,20400,25296,12.5,3019.2,13475.5,13475.5,8,O,492,4,38,16,21,14,8,Sole Proprietorship,22,4,6,0,59,Miscellaneous Retail Stores,11477,5695,5782,138000,51525,38.3,5,313,2495,68628,2567,401,2968,PA,B,S3
40351,74400,91140,12.5,11866.8,67706,75385,4,R,568,6,11,4,6,2,5,Corporation,7,31,2,12,75,Auto Repair Services and Parking,69048,32158,36890,159000,19233,27.3,5,699,11702,455567,21784,1183,22967,NY,H,S4
2218,6800,8092,12.5,938.4,5429.34,5429.33333,3,O,601,18,53,51,35,0,2,Sole Proprietorship,1,0,2,0,55,Automotive Dealers and Service Stations,47813,23892,23921,150000,59121,35.2,6,1273,16543,591043,10845,677,11522,IL,B,S1
41145,90000,104850,7.5,2394,78578.16,78578,1,R,611,7,7,6,4,1,0,Limited Liability Company,1,1,1,0,73,Business Services,25042,12821,12221,708300,38304,38.9,5,4870,59417,4670600,12042,4586,16628,NY,A,S4
13764,18600,23064,12.5,2890.44,12081.46,12751.1429,7,O,583,18,49,47,37,0,2,Corporation,15,2,2,0,54,Food Stores,39908,18948,20960,188500,40046,35,5,1013,9839,319713,14820,1077,15897,NJ,H,S2
2440,10600,12614,10,1145.38,10273.26,10273.3333,3,O,447,8,37,24,14,6,7,Sole Proprietorship,11,1,2,1,72,Personal Services,28367,13573,14794,63200,28112,35,5,531,8146,194561,10230,852,11082,SC,OTHER,S2
6476,25800,30315,12.5,1044.9,26476.82,41906,2,R,500,6,20,13,13,3,4,Corporation,2,0,1,0,58,Eating and Drinking Places,8449,4040,4409,56300,26629,36.3,6,118,1514,27871,3214,184,3398,FL,OTHER,S3
10452,25800,30702,12.5,3560.4,20331.84,20331.7143,7,O,502,2,14,8,7,2,4,Corporation,2,1,1,1,59,Miscellaneous Retail Stores,41566,20329,21237,315000,86913,39.6,5,2056,16852,608769,14441,1378,15819,NY,B,S3
25109,60000,71400,12.5,6483.24,46840.34,58069,10,O,513,3,54,42,42,5,7,Sole Proprietorship,1,0,0,0,56,Apparel and Accessory Stores,20157,9788,10369,121700,56721,33.1,6,460,7205,211563,8857,493,9350,AL,OTHER,S4
